id	P1	P1r	P1n	P1nh	P2	P6	P33	P36	P45	P46	P52	P53	P54	P55
MOB3C	87	208	158	137	55	8	6	0	4	3	9	9	8	11
ATPAF1	21	68	62	44	15	8	0	0	1	1	3	2	2	5
ATPAF1	21	68	62	44	15	8	0	0	1	1	3	2	2	5
ATPAF1	83	262	200	123	33	16	11	1	12	4	6	8	16	12
ATPAF1	83	262	200	123	33	16	11	1	12	4	6	8	16	12
TEX38	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TEX38	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TEX38	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EFCAB14-AS1	0	3	3	3	0	0	3	0	0	1	1	0	0	2
EFCAB14-AS1	0	3	3	3	0	0	3	0	0	1	1	0	0	2
EFCAB14	180	523	362	288	95	112	282	27	142	55	56	35	27	59
CYP4B1	0	1	1	1	1	0	0	0	0	0	0	0	0	1
CYP4B1	0	1	1	1	1	0	0	0	0	0	0	0	0	1
CYP4B1	0	1	1	1	1	0	0	0	0	0	0	0	0	1
CYP4B1	0	1	1	1	1	0	0	0	0	0	0	0	0	1
CYP4B1	0	1	1	1	1	0	0	0	0	0	0	0	0	1
CYP4B1	0	1	1	1	1	0	0	0	0	0	0	0	0	1
CYP4Z2P	0	2	0	0	0	0	0	0	0	0	0	2	2	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP4X1	0	0	1	0	0	0	0	0	0	0	2	5	0	1
CYP4X1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
CYP4X1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CYP4Z1	0	0	1	0	2	0	0	0	0	0	1	1	0	1
CYP4A22	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CYP4A22	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC00853	0	5	0	0	1	0	0	0	0	0	0	0	0	0
PDZK1IP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TAL1	10	102	33	23	1	2	4	1	0	0	4	1	0	1
TAL1	13	112	34	23	1	2	4	1	0	0	4	1	0	1
TAL1	13	112	34	23	1	2	4	1	0	0	4	1	0	1
TAL1	13	121	34	23	2	2	4	1	0	0	4	1	0	1
TAL1	13	121	34	23	2	2	4	1	0	0	4	1	0	1
TAL1	13	121	34	23	2	2	4	1	0	0	4	1	0	1
STIL	1	223	10	6	1	4	3	0	10	3	15	10	10	14
STIL	1	223	10	6	1	4	3	0	10	3	15	10	10	14
STIL	1	223	10	6	1	4	3	0	10	3	15	10	10	14
STIL	1	223	10	6	1	4	3	0	10	3	15	10	10	14
STIL	1	223	10	6	1	4	3	0	10	3	15	10	10	14
STIL	1	223	10	6	1	4	3	0	10	3	15	10	10	14
CMPK1	57	254	128	119	20	39	19	1	13	13	5	12	19	31
CMPK1	81	303	171	146	31	52	23	1	15	13	17	18	33	34
CMPK1	81	303	171	146	31	52	23	1	15	13	17	18	33	34
CMPK1	81	303	171	146	31	52	23	1	15	13	17	18	33	34
LINC01389	9	74	29	19	6	9	7	0	4	2	7	6	9	3
FOXE3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FOXD2-AS1	1	14	5	5	2	2	4	0	3	0	1	4	8	2
FOXD2	20	163	36	26	13	10	28	3	12	7	0	3	1	10
TRABD2B	2	38	3	1	0	0	2	0	0	0	3	8	2	1
SKINT1L	2	3	2	1	0	0	0	0	0	0	0	1	1	0
SLC5A9	17	44	41	32	10	0	0	0	0	0	0	0	0	0
SLC5A9	17	44	41	32	10	0	0	0	0	0	0	0	0	0
SPATA6	93	221	231	187	58	23	12	0	6	2	24	28	18	46
SPATA6	93	221	231	187	58	23	12	0	6	2	24	28	18	46
SPATA6	93	221	231	187	58	23	12	0	6	2	24	28	18	46
AGBL4	33	125	116	75	23	21	15	2	11	2	25	38	17	30
AGBL4	33	125	116	75	23	21	15	2	11	2	25	38	17	30
AGBL4	33	125	116	75	23	21	15	2	11	2	25	38	17	30
AGBL4	33	125	116	75	23	21	15	2	11	2	25	38	17	30
AGBL4	33	125	116	75	23	21	15	2	11	2	25	38	17	30
BEND5	22	92	81	46	12	13	11	2	5	1	4	1	0	3
BEND5	22	92	81	46	12	13	11	2	5	1	4	1	0	3
LOC101929721	2	5	2	4	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	1	0	2	0	0	0	0	0	0	0	1	0	0
ELAVL4	0	1	0	1	0	1	0	0	1	0	0	2	0	0
ELAVL4	0	1	0	1	0	1	0	0	1	0	0	2	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
ELAVL4	0	1	0	0	0	0	0	0	1	0	0	1	0	0
DMRTA2	0	40	0	0	0	4	4	1	7	7	0	0	0	5
FAF1	299	1373	701	508	162	250	179	20	209	73	121	96	121	165
CDKN2C	14	95	22	12	7	40	66	2	47	27	50	11	25	18
CDKN2C	12	68	13	6	5	5	14	1	15	7	6	3	8	7
MIR4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf185	0	3	0	1	1	0	0	0	0	0	0	1	1	1
RNF11	206	589	495	413	129	106	307	32	297	144	153	75	202	170
TTC39A	3	17	1	1	0	0	0	0	0	0	0	0	0	0
TTC39A	3	17	1	1	0	0	0	0	0	0	0	0	0	0
TTC39A	3	37	2	4	0	0	0	0	0	0	0	0	0	0
TTC39A	3	37	2	4	0	0	0	0	0	0	0	0	0	0
TTC39A	3	40	3	5	0	1	0	0	5	0	0	2	0	0
TTC39A	3	47	3	5	0	1	2	0	5	1	0	2	0	0
TTC39A	4	55	14	11	0	16	6	3	19	6	13	7	8	6
TTC39A	0	38	3	5	0	1	2	0	5	1	0	2	0	0
TTC39A-AS1	0	10	0	0	1	0	0	0	0	0	0	0	0	0
EPS15	104	338	290	192	86	76	23	6	89	29	77	56	101	87
EPS15	281	961	803	533	197	218	187	27	257	111	166	112	188	185
OSBPL9	256	809	530	406	96	259	336	55	573	386	263	171	299	467
OSBPL9	256	809	530	406	96	259	336	55	573	386	263	171	299	467
OSBPL9	256	809	530	406	96	259	336	55	573	386	263	171	299	467
OSBPL9	256	809	530	406	96	259	336	55	573	386	263	171	299	467
OSBPL9	256	809	530	406	96	259	336	55	573	386	263	171	299	467
OSBPL9	108	336	203	160	37	77	69	10	41	47	43	33	58	82
OSBPL9	108	336	203	160	37	77	69	10	41	47	43	33	58	82
OSBPL9	108	336	203	160	37	77	69	10	41	47	43	33	58	82
NRDC	338	890	815	625	225	124	30	4	50	17	125	50	80	111
NRDC	534	1389	1132	957	301	153	68	10	91	31	146	59	97	127
NRDC	534	1389	1132	957	301	153	68	10	91	31	146	59	97	127
MIR761	1	2	0	1	0	0	0	0	0	0	0	0	0	0
RAB3B	4	91	2	5	2	0	0	0	0	0	0	2	1	1
TXNDC12	236	858	540	428	176	79	49	9	30	5	45	11	24	10
TXNDC12	216	777	475	382	161	64	43	8	28	4	35	8	6	8
TXNDC12	216	777	475	382	161	64	43	8	28	4	35	8	6	8
KTI12	85	296	130	130	42	50	34	7	26	2	32	6	0	7
TXNDC12-AS1	1	0	0	0	0	0	0	0	5	0	2	1	1	0
BTF3L4	133	419	222	194	39	30	25	2	22	7	17	17	26	9
BTF3L4	133	419	222	194	39	30	25	2	22	7	17	17	26	9
BTF3L4	133	419	222	194	39	30	25	2	22	7	17	17	26	9
ZFYVE9	43	333	89	46	14	22	10	0	17	4	18	12	5	10
ZFYVE9	43	333	89	46	14	22	10	0	17	4	18	12	5	10
CC2D1B	182	482	343	284	60	80	68	5	35	38	22	21	12	55
ORC1	6	131	12	11	3	9	43	5	48	7	26	6	8	6
ORC1	6	131	12	11	3	9	43	5	48	7	26	6	8	6
ORC1	6	131	12	11	3	9	43	5	48	7	26	6	8	6
PRPF38A	116	369	179	163	69	46	75	6	64	40	43	19	15	81
ZCCHC11	216	741	546	373	105	104	105	17	145	55	117	54	110	89
ZCCHC11	216	741	546	373	105	104	105	17	145	55	117	54	110	89
GPX7	71	129	76	70	25	12	21	3	25	9	4	2	3	3
FAM159A	64	105	137	92	38	35	24	2	25	1	11	4	3	11
FAM159A	80	144	190	122	45	47	42	6	28	5	29	10	16	18
FAM159A	80	144	190	122	45	47	42	6	28	5	29	10	16	18
COA7	22	120	33	26	12	9	6	1	6	1	0	0	2	6
ZYG11B	244	742	525	407	114	129	39	9	34	30	79	54	40	70
ZYG11A	1	61	5	3	1	1	8	0	6	0	3	1	1	1
ZYG11A	1	61	5	3	1	1	8	0	6	0	3	1	1	1
ECHDC2	36	68	76	71	22	24	45	5	39	11	7	9	15	16
ECHDC2	36	68	76	71	22	24	45	5	39	11	7	9	15	16
ECHDC2	36	68	76	71	22	24	45	5	39	11	7	9	15	16
ECHDC2	36	68	76	71	22	24	45	5	39	11	7	9	15	16
SCP2	34	183	57	65	17	18	7	1	9	3	8	4	5	6
SCP2	65	331	146	131	37	30	8	1	9	4	18	9	7	17
SCP2	65	331	146	131	37	30	8	1	9	4	18	9	7	17
SCP2	65	331	146	131	37	30	8	1	9	4	18	9	7	17
SCP2	65	331	146	131	37	30	8	1	9	4	18	9	7	17
MIR1273F	1	1	0	2	1	0	0	0	0	0	1	0	0	0
MIR5095	0	0	0	2	0	0	0	0	0	0	1	0	0	0
MIR1273G	0	1	0	2	0	2	0	0	0	0	1	0	0	0
SCP2	31	125	78	63	19	12	1	0	0	1	6	4	1	3
SCP2	31	125	78	63	19	12	1	0	0	1	6	4	1	3
SCP2	31	125	78	63	19	12	1	0	0	1	6	4	1	3
PODN	0	10	5	2	2	6	1	0	1	0	8	0	0	1
PODN	0	10	5	2	2	6	1	0	1	0	8	0	0	1
PODN	0	10	5	2	2	6	1	0	1	0	8	0	0	1
PODN	0	10	4	2	2	4	1	0	1	0	8	0	0	1
SLC1A7	14	33	16	13	2	2	2	0	13	1	1	1	1	2
SLC1A7	14	33	16	13	2	2	2	0	13	1	1	1	1	2
SLC1A7	14	33	16	13	2	2	2	0	13	1	1	1	1	2
SLC1A7	14	33	16	13	2	2	2	0	13	1	1	1	1	2
SLC1A7	10	19	9	6	2	0	0	0	1	0	0	0	1	1
CPT2	319	887	599	573	132	75	66	11	36	37	64	30	31	34
C1orf123	51	197	123	70	28	12	6	1	10	3	6	3	3	2
C1orf123	51	197	123	70	28	12	6	1	10	3	6	3	3	2
C1orf123	51	197	123	70	28	12	6	1	10	3	6	3	3	2
C1orf123	42	164	98	62	22	3	3	0	5	1	5	3	2	1
MAGOH	69	185	96	96	25	33	68	7	51	25	39	19	37	39
LOC100507564	90	249	122	107	44	4	6	2	1	4	2	5	0	4
LRP8	29	363	79	49	8	54	63	6	65	17	35	17	26	16
LRP8	29	363	79	49	8	54	63	6	65	17	35	17	26	16
LRP8	29	363	79	49	8	54	63	6	65	17	35	17	26	16
LRP8	29	363	79	49	8	54	63	6	65	17	35	17	26	16
LOC105378732	13	43	31	9	1	3	11	1	2	0	0	0	0	0
SLC25A3P1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DMRTB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLIS1	5	17	4	7	2	0	4	0	6	1	6	10	6	6
NDC1	62	335	94	87	27	26	13	0	14	6	5	4	10	9
NDC1	62	335	94	87	27	26	13	0	14	6	5	4	10	9
NDC1	62	335	94	87	27	26	13	0	14	6	5	4	10	9
YIPF1	167	413	258	247	68	18	6	0	12	5	20	10	26	11
YIPF1	167	413	258	247	68	18	6	0	12	5	20	10	26	11
YIPF1	167	413	258	247	68	18	6	0	12	5	20	10	26	11
YIPF1	167	413	258	247	68	18	6	0	12	5	20	10	26	11
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
DIO1	0	1	0	0	0	0	4	0	1	3	0	1	0	0
HSPB11	81	205	121	110	21	19	18	7	27	7	16	9	0	7
HSPB11	81	205	121	110	21	19	18	7	27	7	16	9	0	7
HSPB11	81	205	121	110	21	19	18	7	27	7	16	9	0	7
HSPB11	106	270	158	138	27	21	21	7	28	12	16	9	0	7
LRRC42	21	94	36	21	7	13	9	0	5	2	8	4	0	4
LRRC42	21	94	36	21	7	13	9	0	5	2	8	4	0	4
LDLRAD1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
LDLRAD1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
LDLRAD1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
LDLRAD1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
LDLRAD1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
TMEM59	268	648	461	348	104	100	145	19	157	74	77	56	101	157
TMEM59	268	648	461	348	104	100	145	19	157	74	77	56	101	157
TMEM59	268	648	461	348	104	100	145	19	157	74	77	56	101	157
TMEM59	268	648	462	348	104	100	145	19	157	74	77	56	101	157
TMEM59	268	648	462	348	104	100	145	19	157	74	77	56	101	157
TMEM59	268	648	462	348	104	100	145	19	157	74	77	56	101	157
TMEM59	173	412	226	161	71	52	129	13	103	51	38	28	53	81
TCEANC2	195	484	309	203	110	49	57	8	50	28	43	28	39	49
TCEANC2	217	533	343	241	113	61	57	8	51	29	51	32	52	49
MIR4781	2	3	2	0	0	0	0	0	0	1	0	0	0	0
CDCP2	0	2	2	0	0	0	0	0	0	0	1	0	1	0
CYB5RL	11	96	29	27	7	5	1	0	4	1	2	2	5	3
MRPL37	95	308	178	123	43	15	8	0	4	1	4	3	10	6
SSBP3	231	743	625	384	97	300	256	31	248	80	109	57	113	101
SSBP3	231	743	625	384	97	300	256	31	248	80	109	57	113	101
SSBP3	231	743	625	384	97	300	256	31	248	80	109	57	113	101
SSBP3-AS1	0	6	2	0	0	1	6	1	2	2	1	0	0	0
ACOT11	11	33	40	26	1	19	2	0	5	0	2	3	6	10
ACOT11	15	46	58	47	1	28	5	1	5	2	6	4	7	17
FAM151A	0	0	1	1	0	0	0	0	0	0	0	0	2	0
MROH7	2	7	3	7	0	5	1	0	1	1	6	11	5	4
MROH7	2	7	3	7	0	5	1	0	1	1	6	11	5	4
MROH7	2	7	3	7	0	5	1	0	1	1	6	11	5	4
MROH7	2	7	3	7	0	5	1	0	1	1	6	11	5	4
MROH7-TTC4	94	334	184	176	45	30	18	5	14	5	11	13	11	4
MROH7-TTC4	94	334	184	176	45	30	18	5	14	5	11	13	11	4
MROH7-TTC4	94	334	184	176	45	30	18	5	14	5	11	13	11	4
TTC4	92	326	178	168	45	22	15	4	12	3	5	2	6	0
TTC4	92	326	178	168	45	22	15	4	12	3	5	2	6	0
PARS2	89	245	117	74	20	3	0	0	1	0	1	1	6	1
TTC22	37	117	109	81	16	27	79	4	38	17	17	2	1	9
TTC22	35	106	100	73	16	25	70	1	35	11	11	1	1	5
LEXM	6	20	28	22	6	3	6	1	12	2	2	6	1	6
LEXM	6	20	28	22	6	3	6	1	12	2	2	6	1	6
DHCR24	17	337	37	22	4	7	5	1	9	1	2	5	0	1
TMEM61	2	10	8	6	5	0	0	0	0	0	0	0	0	0
BSND	1	10	8	4	5	0	0	0	0	0	0	0	0	0
PCSK9	11	66	47	32	14	1	3	0	0	2	3	1	1	0
PCSK9	1	13	0	0	0	1	3	0	0	2	3	1	1	0
USP24	366	1083	889	579	170	178	75	6	99	42	91	63	79	113
LOC100507634	243	522	394	286	123	11	33	3	47	13	6	7	8	18
MIR4422	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLPP3	4	57	7	7	3	7	27	6	15	15	6	3	1	5
LOC101929935	0	19	2	0	0	0	0	0	0	0	0	0	0	0
PRKAA2	0	121	0	0	0	4	0	0	0	0	0	2	1	1
C1orf168	0	1	0	0	0	0	0	0	0	0	1	3	0	2
C8A	0	1	0	0	0	0	0	0	0	0	2	1	0	1
C8B	0	2	2	1	0	0	0	0	1	0	0	0	0	0
C8B	0	2	2	1	0	0	0	0	1	0	0	0	0	0
C8B	0	2	2	1	0	0	0	0	1	0	0	0	0	0
DAB1	23	53	71	37	8	30	6	1	10	5	30	25	8	21
DAB1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAB1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAB1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAB1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OMA1	171	514	348	261	87	54	42	6	41	25	31	15	8	22
TACSTD2	3	5	10	6	0	3	14	0	1	1	3	6	3	19
MYSM1	152	437	304	243	87	29	49	4	54	31	43	23	38	36
JUN	245	609	315	195	158	764	2803	197	1443	690	365	159	167	192
LINC01135	146	416	269	222	86	85	187	20	131	47	34	15	6	18
LINC01135	146	416	269	222	86	85	187	20	131	47	34	15	6	18
LINC01135	146	416	269	222	86	85	187	20	131	47	34	15	6	18
LINC01358	11	25	29	11	9	2	3	0	4	1	3	0	1	1
HSD52	0	1	4	0	1	0	0	0	0	0	0	0	0	0
FGGY	370	918	697	532	226	35	65	8	38	24	48	47	45	99
FGGY	370	918	697	532	226	35	65	8	38	24	48	47	45	99
FGGY	355	855	654	494	218	32	56	6	34	20	48	44	40	99
FGGY	163	446	376	273	114	28	36	5	31	19	45	45	45	95
FGGY	101	256	238	181	60	16	30	4	19	16	20	20	17	37
MIR4711	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC101926944	0	1	2	2	2	0	0	0	0	0	2	2	7	4
HOOK1	36	85	62	29	9	8	18	1	22	8	14	11	9	4
CYP2J2	11	31	17	14	2	0	0	0	0	0	0	0	0	0
CYP2J2	11	31	17	14	2	0	0	0	0	0	0	0	0	0
CYP2J2	11	31	17	14	2	0	0	0	0	0	0	0	0	0
C1orf87	2	2	1	2	0	0	0	0	0	0	0	1	2	2
LOC101926964	0	3	4	2	0	0	0	0	1	0	2	6	2	3
NFIA-AS2	0	4	0	0	0	0	0	0	0	0	1	0	0	0
NFIA-AS2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
NFIA	135	879	226	164	55	38	56	6	29	29	26	29	7	31
NFIA	55	675	128	79	29	37	54	5	27	22	26	29	7	31
NFIA	51	656	117	73	28	37	54	5	24	22	22	28	7	30
NFIA	51	656	117	73	28	37	54	5	24	22	22	28	7	30
NFIA-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGC34796	0	2	0	0	0	0	0	0	0	0	0	0	0	0
TM2D1	285	828	495	432	117	21	8	3	7	5	41	15	5	18
TM2D1	285	828	495	432	117	21	8	3	7	5	41	15	5	18
TM2D1	285	828	495	432	117	21	8	3	7	5	41	15	5	18
TM2D1	285	828	495	432	117	21	8	3	7	5	41	15	5	18
PATJ	176	615	430	310	89	146	99	10	106	40	116	64	143	67
MIR3116-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR3116-2	0	0	0	1	0	0	0	0	0	0	1	0	0	0
L1TD1	2	2	1	4	1	1	8	0	3	4	1	0	2	1
L1TD1	2	2	1	4	1	1	8	0	3	4	1	0	2	1
KANK4	7	17	6	4	1	0	1	0	0	0	2	3	4	2
KANK4	7	17	6	4	1	0	1	0	0	0	2	3	4	2
USP1	86	323	169	135	50	32	58	5	37	23	26	17	16	19
USP1	86	323	169	135	50	32	58	5	37	23	26	17	16	19
USP1	75	284	143	113	42	29	56	5	26	22	26	17	16	19
DOCK7	34	244	111	68	17	13	14	2	18	11	19	16	22	12
DOCK7	34	244	111	68	17	13	14	2	18	11	19	16	22	12
DOCK7	34	244	111	68	17	13	14	2	18	11	19	16	22	12
DOCK7	34	244	111	68	17	13	14	2	18	11	19	16	22	12
DOCK7	18	139	60	43	11	5	6	1	3	3	10	12	16	5
ANGPTL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATG4C	127	432	305	212	77	22	27	1	14	7	34	17	20	39
ATG4C	127	432	305	212	77	22	27	1	14	7	34	17	20	39
LINC00466	1	7	5	1	1	1	1	0	2	0	2	6	3	1
FOXD3-AS1	2	26	0	0	0	0	1	0	0	0	0	0	1	0
FOXD3-AS1	2	26	0	0	0	0	1	0	0	0	0	0	1	0
FOXD3-AS1	2	39	0	0	0	0	1	0	0	0	0	0	1	0
FOXD3-AS1	2	47	0	0	0	0	1	0	0	0	0	0	1	0
FOXD3	0	44	0	1	0	0	1	1	4	1	0	1	1	0
MIR6068	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ALG6	105	378	268	186	64	27	5	0	0	4	9	8	2	12
ITGB3BP	33	204	55	51	20	13	22	1	14	6	11	6	10	13
ITGB3BP	33	204	55	51	20	13	22	1	14	6	11	6	10	13
ITGB3BP	33	204	55	51	20	13	22	1	14	6	11	6	10	13
EFCAB7	33	107	59	44	10	5	26	1	25	7	21	7	9	17
DLEU2L	0	1	1	0	0	0	0	0	0	0	0	0	1	0
PGM1	102	280	188	166	77	48	43	7	25	21	21	31	47	41
PGM1	88	205	158	143	64	44	41	6	22	20	17	29	47	40
PGM1	28	52	43	39	21	13	4	1	10	6	9	19	23	31
ROR1	3	32	12	14	4	5	4	1	1	6	12	20	0	9
ROR1	3	34	12	15	4	6	4	1	2	7	13	20	0	9
ROR1-AS1	0	0	2	0	0	0	0	0	0	0	0	1	1	0
ROR1-AS1	0	0	2	0	0	0	0	0	0	0	0	1	1	0
UBE2U	0	4	0	2	0	0	0	0	0	0	2	0	0	1
CACHD1	12	435	24	17	17	2	6	1	1	2	7	7	10	10
CACHD1	9	359	22	11	16	1	0	0	1	2	7	6	10	10
MIR4794	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAVER2	6	89	25	17	5	15	2	0	5	0	8	9	10	10
JAK1	924	2343	2326	1605	556	578	425	48	285	173	380	250	412	455
JAK1	924	2343	2326	1605	556	578	425	48	285	173	380	250	412	455
JAK1	924	2343	2326	1605	556	578	425	48	285	173	380	250	412	455
JAK1	934	2364	2342	1611	560	580	425	48	285	173	380	250	412	457
JAK1	934	2364	2342	1611	560	580	425	48	285	173	380	250	412	457
JAK1	1999	4961	4964	3569	1193	843	511	66	354	233	557	329	547	566
JAK1	1999	4961	4964	3569	1193	843	511	66	354	233	557	329	547	566
JAK1	1999	4961	4964	3569	1193	843	511	66	354	233	557	329	547	566
LINC01359	81	225	243	144	51	34	20	3	4	9	22	14	23	14
MIR3671	1	4	4	5	2	1	0	1	0	0	0	1	0	0
MIR101-1	0	3	0	7	1	0	0	0	0	0	0	1	0	0
AK4	4	107	11	14	2	3	9	0	5	7	6	5	1	4
AK4	3	95	8	13	2	3	9	0	5	7	6	5	1	4
AK4	3	95	8	13	2	3	9	0	5	7	6	5	1	4
DNAJC6	23	123	23	13	3	13	8	0	26	3	7	6	15	3
DNAJC6	23	123	23	13	3	13	8	0	26	3	7	6	15	3
DNAJC6	12	75	15	8	1	6	4	0	6	2	6	3	15	1
LEPROT	85	266	169	118	55	27	31	1	24	9	17	4	7	6
LEPROT	98	298	218	137	66	30	35	2	24	10	23	7	13	11
LEPR	134	423	342	232	85	49	40	4	35	18	37	16	24	21
LEPR	134	423	344	232	85	49	40	4	35	18	37	16	24	21
LEPR	134	426	345	232	85	49	40	4	35	18	37	16	24	21
LEPROT	74	272	197	123	62	26	28	2	19	7	20	7	12	11
LEPR	3	22	27	17	9	2	1	0	7	0	1	5	3	2
LEPR	3	22	27	17	9	2	1	0	7	0	1	5	3	2
LEPR	3	22	29	17	9	2	1	0	7	0	1	5	3	2
PDE4B	638	1409	1374	1063	444	135	128	16	72	29	152	96	122	252
PDE4B	638	1409	1374	1063	444	135	128	16	72	29	152	96	122	252
PDE4B	638	1409	1374	1063	443	135	128	16	72	29	152	96	122	252
PDE4B	636	1405	1371	1061	435	134	124	16	70	29	147	95	121	246
PDE4B	636	1404	1363	1057	434	134	124	16	70	29	134	92	120	246
LOC101927139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE4B	615	1344	1330	1033	413	131	109	14	62	28	118	85	100	237
PDE4B	223	508	587	437	156	86	64	5	21	20	74	45	48	162
SGIP1	0	4	4	1	2	2	4	1	4	2	4	6	2	5
SGIP1	0	4	4	1	2	2	4	1	4	2	4	6	2	5
MIR3117	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TCTEX1D1	0	3	2	2	1	0	1	0	0	5	0	0	1	0
INSL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR78	52	179	85	81	17	12	21	2	23	26	9	9	11	7
WDR78	50	177	84	80	16	12	21	2	23	26	9	7	11	7
MIER1	459	1113	768	610	224	103	205	15	151	83	94	50	64	123
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	650	1653	1264	1040	342	210	276	26	264	135	165	95	136	235
MIER1	470	1161	976	802	228	199	218	22	233	116	160	92	134	215
MIER1	470	1161	976	802	228	199	218	22	233	116	160	92	134	215
SLC35D1	171	559	280	237	80	63	71	10	83	53	45	21	31	38
C1orf141	0	0	0	1	0	0	0	0	0	0	3	2	1	1
C1orf141	0	0	0	1	0	0	0	0	0	0	3	2	1	1
C1orf141	0	0	0	1	0	0	0	0	0	0	3	2	1	1
IL23R	7	14	19	8	2	3	6	1	14	4	3	4	1	3
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
IL12RB2	29	78	50	28	17	4	8	2	17	12	6	7	3	4
SERBP1	116	558	269	200	57	61	59	9	42	24	20	6	11	10
SERBP1	116	558	269	200	57	61	59	9	42	24	20	6	11	10
